K,opt_attempts,opt_wall_us,pes_wall_us
2,3,466.0,472.0
4,10,926.0,917.0
8,36,1835.0,1849.0
16,136,3709.0,3746.0
32,522,7716.0,7529.0
64,2075,15240.0,15262.0
128,8220,30390.0,30302.0
